x,promedio
0,5
200,7.333333333
400,6.333333333
600,8.333333333
800,10.66666667
1000,11.66666667
1200,15
1400,15.33333333
1600,19.66666667
1800,23
2000,25.66666667
2200,26
2400,30
2600,31.66666667
2800,34
3000,39.66666667
3200,38.33333333
3400,36.66666667
3600,37.33333333
3800,39.33333333
4000,39.33333333
4200,35.66666667
4400,36.66666667
4600,33
4800,32.33333333
5000,35.66666667
5200,26
5400,27.33333333
5600,25
5800,22
6000,18.33333333
6200,16
6400,12.66666667
6600,15
6800,8
7000,9.333333333
7200,9
7400,8.333333333
7600,7.666666667
7800,10.66666667
8000,7.666666667
8200,8.666666667
