x,promedio
0,70.33333333
20,64.33333333
40,70.33333333
60,80.33333333
80,70.66666667
100,81.66666667
120,79.33333333
140,86
160,75
180,82.66666667
200,81.66666667
220,81
240,77.33333333
260,85.33333333
280,79.33333333
300,82
320,87
340,85.66666667
360,84.33333333
380,83.66666667
400,83.33333333
420,82
440,86.66666667
460,88.66666667
480,90
500,89.66666667
520,90
540,84.66666667
560,90
580,98
600,95.66666667
620,107.6666667
640,100
660,105
680,110.3333333
700,120.3333333
720,118.6666667
740,127
760,132.6666667
780,122.6666667
800,128.3333333
820,146
840,144.6666667
860,152.6666667
880,158.3333333
900,159.3333333
920,176.6666667
940,164.3333333
960,165.3333333
980,165
1000,166
1020,148
1040,149.3333333
1060,158.3333333
1080,151.6666667
1100,153.3333333
1120,140.3333333
1140,138
1160,148.6666667
1180,134
1200,133.3333333
1220,123.3333333
1240,127.6666667
1260,130
1280,121
1300,135
1320,134
1340,131.6666667
1360,136
1380,148.6666667
1400,154.6666667
1420,166.6666667
1440,165
1460,182
1480,193
1500,208.3333333
1520,222.6666667
1540,226.6666667
1560,228.3333333
1580,242.6666667
1600,266.3333333
1620,265.3333333
1640,275
1660,282.3333333
1680,297.6666667
1700,288.6666667
1720,302.3333333
1740,295
1760,295
1780,297.3333333
1800,282.6666667
1820,276.3333333
1840,261.3333333
1860,247
1880,242.3333333
1900,239.6666667
1920,218
1940,217.6666667
1960,207
1980,189
2000,196.6666667
2020,178
2040,203.3333333
2060,175.6666667
2080,180
2100,182
2120,183.3333333
2140,185
2160,210.3333333
2180,216.3333333
2200,219
2220,253.3333333
2240,275
2260,282.3333333
2280,304
2300,311
2320,340
2340,344.6666667
2360,373.3333333
2380,376
2400,394
2420,404
2440,422
2460,420.6666667
2480,408.6666667
2500,414
2520,399.6666667
2540,404.6666667
2560,394.3333333
2580,398.3333333
2600,375.6666667
2620,361.6666667
2640,343.6666667
2660,338.6666667
2680,315
2700,300.3333333
2720,281
2740,270.3333333
2760,252.6666667
2780,250.6666667
2800,251.3333333
2820,236
2840,226
2860,237.6666667
2880,240.3333333
2900,239.6666667
2920,238
2940,262
2960,260
2980,284.6666667
3000,308
3020,336.3333333
3040,340
3060,359
3080,348.6666667
3100,390.3333333
3120,420.3333333
3140,439.3333333
3160,461
3180,470
3200,478
3220,485.6666667
3240,480.3333333
3260,490
3280,503
3300,478.3333333
3320,475.3333333
3340,476
3360,451.3333333
3380,438.3333333
3400,433
3420,406.6666667
3440,377.3333333
3460,369
3480,364.3333333
3500,337
3520,300.3333333
3540,295.6666667
3560,277.3333333
3580,265.6666667
3600,279.6666667
3620,264.6666667
3640,256.6666667
3660,256.3333333
3680,254.6666667
3700,273
3720,279.6666667
3740,286.3333333
3760,294.6666667
3780,312
3800,350.3333333
3820,356
3840,362
3860,379.6666667
3880,407.3333333
3900,430.6666667
3920,457.3333333
3940,474.3333333
3960,475.6666667
3980,500.6666667
4000,500.3333333
4020,526
4040,519
4060,488.3333333
4080,499.3333333
4100,489.6666667
4120,501.3333333
4140,465.6666667
4160,433.6666667
4180,423.6666667
4200,433
4220,429
4240,366.6666667
4260,358.3333333
4280,332
4300,331
4320,307.6666667
4340,280
4360,273
4380,270.3333333
4400,262.6666667
4420,258
4440,260.6666667
4460,255.3333333
4480,267.3333333
4500,274
4520,275.3333333
4540,293.6666667
4560,293
4580,307
4600,320
4620,338.3333333
4640,353.6666667
4660,354
4680,370.6666667
4700,388.6666667
4720,393.3333333
4740,402.6666667
4760,403
4780,408.3333333
4800,415.3333333
4820,423
4840,397
4860,415
4880,384.6666667
4900,377.6666667
4920,364.6666667
4940,359
4960,347.3333333
4980,326.3333333
5000,303.6666667
5020,304.6666667
5040,280.3333333
5060,275.3333333
5080,250.6666667
5100,250.3333333
5120,248
5140,217.3333333
5160,203
5180,212
5200,198.3333333
5220,193
5240,193.6666667
5260,188.3333333
5280,191.6666667
5300,205.6666667
5320,198.3333333
5340,202.6666667
5360,210
5380,230.6666667
5400,236.6666667
5420,249
5440,259.3333333
5460,262.3333333
5480,270
5500,275
5520,262.6666667
5540,248
5560,251.6666667
5580,253
5600,260.3333333
5620,249.3333333
5640,253.6666667
5660,246
5680,246
5700,218.3333333
5720,226.3333333
5740,216.6666667
5760,206.3333333
5780,216
5800,212.6666667
5820,215
5840,188.6666667
5860,185
5880,179.6666667
5900,188
5920,181.3333333
5940,177.3333333
5960,175.3333333
5980,168.6666667
6000,164.6666667
6020,160.3333333
6040,153.3333333
6060,167.3333333
6080,164.6666667
6100,166.6666667
6120,159
6140,165.6666667
6160,169.6666667
6180,170.6666667
6200,174
6220,155.6666667
6240,171
6260,160.6666667
6280,171.3333333
6300,173
6320,170.3333333
6340,169.6666667
