x,V
0,28.80
20,29.1
40,29.4
60,29.90
80,30.80
100,31.80
120,32.90
140,34.00
160,35.90
180,37.50
200,38.70
220,41.40
240,42.10
260,46.00
280,48.90
300,52.30
320,53.60
340,56.40
360,59.10
380,61.70
400,64.70
420,66.80
440,69.10
460,70.40
480,73.40
500,74.60
520,76.40
540,77.90
560,78.90
580,79.90
600,80.30
620,80.50
640,80.40
660,80.50
680,80.00
700,79.40
720,78.20
740,77.10
760,75.90
780,74.00
800,72.90
820,69.90
840,69.10
860,66.50
880,64.50
900,62.80
920,60.80
940,58.50
960,57.00
980,55.40
1000,54.10
1020,52.80
1040,52.00
1060,51.10
1080,50.80
1100,51.00
1120,51.30
1140,51.90
1160,52.80
1180,54.70
1200,57.20
1220,58.90
1240,61.50
1260,63.00
1280,68.50
1300,71.60
1320,74.40
1340,79.20
1360,83.00
1380,87.20
1400,90.30
1420,95.40
1440,99.20
1460,102.90
1480,107.10
1500,110.40
1520,113.40
1540,115.10
1560,118.50
1580,121.10
1600,123.40
1620,124.90
1640,126.10
1660,126.80
1680,127.20
1700,127.10
1720,126.70
1740,125.90
1760,124.70
1780,122.80
1800,121.50
1820,118.70
1840,115.50
1860,112.40
1880,110.10
1900,107.20
1920,103.10
1940,99.10
1960,96.60
1980,94.10
2000,91.40
2020,88.40
2040,86.20
2060,84.50
2080,82.60
2100,81.70
2120,81.00
2140,81.10
2160,82.20
2180,83.70
2200,85.90
2220,87.10
2240,89.70
2260,92.70
2280,96.70
2300,102.20
2320,107.10
2340,112.70
2360,119.10
2380,126.10
2400,129.70
2420,138.20
2440,142.80
2460,149.80
2480,158.90
2500,164.40
2520,171.10
2540,179.00
2560,184.30
2580,189.50
2600,196.40
2620,202.00
2640,206.00
2660,210.00
2680,214.00
2700,217.00
2720,219.00
2740,221.00
2760,222.00
2780,223.00
2800,224.00
2820,224.00
2840,223.00
2860,222.00
2880,221.00
2900,219.00
2920,217.00
2940,215.00
2960,213.00
2980,211.00
3000,209.00
3020,207.00
3040,205.00
3060,203.00
3080,201.00
3100,200.00
3120,199.00
3140,198.40
3160,198.40
3180,198.90
3200,201.00
3220,202.00
3240,205.00
3260,207.00
3280,212.00
3300,217.00
3320,220.00
3340,227.00
3360,234.00
3380,242.00
3400,245.00
3420,254.00
3440,266.00
3460,274.00
3480,280.00
3500,295.00
3520,305.00
3540,316.00
3560,325.00
3580,338.00
3600,353.00
3620,367.00
3640,382.00
3660,392.00
3680,404.00
3700,417.00
3720,428.00
3740,436.00
3760,451.00
3780,457.00
3800,468.00
3820,478.00
3840,484.00
3860,490.00
3880,494.00
3900,499.00
3920,501.00
3940,504.00
3960,503.00
3980,504.00
4000,502.00
4020,499.00
4040,497.00
4060,493.00
4080,486.00
4100,481.00
4120,477.00
4140,471.00
4160,465.00
4180,459.00
4200,455.00
4220,448.00
4240,444.00
4260,441.00
4280,439.00
4300,437.00
4320,439.00
4340,443.00
4360,446.00
4380,452.00
4400,459.00
4420,467.00
4440,479.00
4460,494.00
4480,506.00
4500,522.00
4520,542.00
4540,560.00
4560,583.00
4580,609.00
4600,631.00
4620,657.00
4640,679.00
4660,705.00
4680,731.00
4700,756.00
4720,782.00
4740,792.00
4760,827.00
4780,844.00
4800,863.00
4820,878.00
4840,893.00
4860,904.00
4880,912.00
4900,916.00
4920,927.00
4940,921.00
4960,923.00
4980,917.00
5000,907.00
5020,885.00
5040,875.00
5060,859.00
5080,841.00
5100,824.00
5120,811.00
5140,791.00
5160,767.00
5180,749.00
5200,729.00
5220,709.00
5240,693.00
5260,674.00
5280,665.00
5300,659.00
5320,655.00
5340,651.00
5360,660.00
5380,668.00
5400,684.00
5420,700.00
5440,721.00
5460,736.00
5480,758.00
5500,793.00
5520,821.00
5540,853.00
5560,882.00
5580,919.00
5600,951.00
5620,981.00
5640,1013.00
5660,1055.00
5680,1093.00
5700,1119.00
5720,1157.00
5740,1182.00
5760,1196.00
5780,1210.00
5800,1222.00
5820,1234.00
5840,1247.00
5860,1251.00
5880,1248.00
5900,1225.00
5920,1216.00
5940,1200.00
5960,1183.00
5980,1157.00
6000,1129.00
6020,1107.00
6040,1075.00
6060,1031.00
6080,1006.00
6100,971.00
6120,937.00
6140,904.00
6160,877.00
6180,853.00
6200,821.00
6220,799.00
6240,775.00
6260,762.00
6280,749.00
6300,747.00
6320,731.00
6340,734.00
6360,739.00
6380,752.00
6400,768.00
6420,791.00
6440,815.00
6460,832.00
6480,857.00
6500,891.00
6520,929.00
6540,956.00
6560,989.00
6580,1021.00
6600,1055.00
6620,1090.00
6640,1120.00
6660,1142.00
6680,1168.00
6700,1185.00
6720,1207.00
6740,1217.00
6760,1219.00
6780,1222.00
6800,1220.00
6820,1215.00
6840,1202.00
6860,1187.00
6880,1167.00
6900,1149.00
6920,1117.00
6940,1081.00
6960,1048.00
6980,1019.00
7000,981.00
7020,931.00
7040,905.00
7060,865.00
7080,819.00
7100,782.00
7120,749.00
7140,711.00
7160,684.00
7180,655.00
7200,635.00
7220,616.00
7240,602.00
7260,592.00
7280,582.00
7300,583.00
7320,587.00
7340,591.00
7360,605.00
7380,612.00
7400,625.00
7420,644.00
7440,670.00
7460,683.00
7480,701.00
7500,733.00
7520,755.00
7540,780.00
7560,805.00
7580,833.00
7600,857.00
7620,859.00
7640,871.00
7660,875.00
7680,876.00
7700,875.00
7720,869.00
7740,851.00
7760,845.00
7780,822.00
7800,806.00
7820,780.00
7840,751.00
7860,716.00
7880,682.00
7900,642.00
7920,605.00
7940,574.00
7960,532.00
7980,495.00
8000,458.00
8020,427.00
8040,390.00
8060,365.00
8080,334.00
8100,299.00
8120,278.00
8140,255.00
8160,243.00
8180,230.00
8200,220.00
8220,216.00
8240,214.00
8260,210.00
8280,209.00
8300,208.00
8320,209.00
8340,213.00
8360,218.00
8380,219.00
8400,214.00
8420,211.00
8440,209.00
8460,207.00
8480,203.00
8500,194.00
8520,178.00
8540,159.00
8560,143.00
8580,131.00
8600,115.00
8620,101.00
8640,94.00
8660,97.00

